{'winner_team_id': None, 'pos': Pos(x=-5, y=-6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=5, y=-13), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=6, y=7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-5, y=-5), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=4, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=5, y=9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-7, y=-4), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=3, y=-11), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=3, y=9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-7, y=-5), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=4, y=-11), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=3, y=11), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-8, y=-6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=3, y=-11), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=5, y=9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-7, y=-7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=2, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=6, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=3, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-8, y=-5), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=4, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=5, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=3, y=-10), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=3, y=9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=5, y=-10), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=1, y=9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=3, y=-9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=3, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
